Iteration, Small_Alive, Small_Dead, Medium_Alive, Medium_Dead, Large_Alive, Large_Dead, Mean_Diameter_Alive, Mean_Diameter_Dead
1, 12055, 27, 281, 0, 0, 0, 0.9322224, 0.853632
51, 12051, 31, 281, 0, 0, 0, 0.9323815, 0.8019027
101, 12044, 38, 281, 0, 0, 0, 0.9325792, 0.7632661
151, 12035, 47, 281, 0, 0, 0, 0.9328462, 0.727321
201, 12027, 55, 281, 0, 0, 0, 0.9329396, 0.7367935
251, 12018, 64, 281, 0, 0, 0, 0.9332106, 0.7135127
301, 12011, 71, 281, 0, 0, 0, 0.9333276, 0.7153521
351, 12003, 79, 281, 0, 0, 0, 0.9334018, 0.726171
401, 11995, 87, 281, 0, 0, 0, 0.9335884, 0.7195021
451, 11982, 100, 281, 0, 0, 0, 0.9338719, 0.7133533
501, 11975, 107, 281, 0, 0, 0, 0.9339706, 0.7167251
551, 11964, 118, 281, 0, 0, 0, 0.9342036, 0.7133362
601, 11957, 125, 281, 0, 0, 0, 0.9343003, 0.7164563
651, 11946, 136, 281, 0, 0, 0, 0.9345617, 0.7111124
701, 11931, 151, 281, 0, 0, 0, 0.934988, 0.6996195
751, 11921, 161, 281, 0, 0, 0, 0.9350535, 0.7093878
801, 11907, 175, 281, 0, 0, 0, 0.9353375, 0.7081078
851, 11894, 188, 281, 0, 0, 0, 0.9355419, 0.7108991
901, 11881, 201, 281, 0, 0, 0, 0.9358599, 0.7066242
951, 11870, 212, 281, 0, 0, 0, 0.936044, 0.7082228
1001, 11863, 219, 281, 0, 0, 0, 0.93618, 0.7081421
1051, 11856, 226, 281, 0, 0, 0, 0.936202, 0.7140483
1101, 11847, 235, 281, 0, 0, 0, 0.9362871, 0.7182691
1151, 11839, 243, 281, 0, 0, 0, 0.9363657, 0.7216198
1201, 11829, 253, 281, 0, 0, 0, 0.9365396, 0.7219701
1251, 11816, 266, 281, 0, 0, 0, 0.9366692, 0.7267041
1301, 11806, 276, 281, 0, 0, 0, 0.9368708, 0.7256874
1351, 11799, 283, 281, 0, 0, 0, 0.9369792, 0.7263927
1401, 11788, 294, 281, 0, 0, 0, 0.9372125, 0.7249157
1451, 11778, 304, 281, 0, 0, 0, 0.9372507, 0.7304181
1501, 11764, 318, 281, 0, 0, 0, 0.9374796, 0.7310532
1551, 11744, 338, 281, 0, 0, 0, 0.9378432, 0.7306331
1601, 11737, 345, 281, 0, 0, 0, 0.9380256, 0.7286298
1651, 11727, 355, 281, 0, 0, 0, 0.9381058, 0.731877
1701, 11714, 368, 281, 0, 0, 0, 0.9382844, 0.7334805
1751, 11702, 380, 281, 0, 0, 0, 0.9386227, 0.7295318
1801, 11688, 394, 281, 0, 0, 0, 0.938756, 0.7330081
1851, 11668, 414, 281, 0, 0, 0, 0.9391153, 0.7328202
1901, 11651, 431, 281, 0, 0, 0, 0.9395965, 0.7279442
1951, 11636, 446, 281, 0, 0, 0, 0.9400516, 0.7231925
2001, 11620, 462, 281, 0, 0, 0, 0.9403661, 0.7227917
2051, 11606, 476, 281, 0, 0, 0, 0.9406504, 0.7222559
2101, 11588, 494, 281, 0, 0, 0, 0.941025, 0.721426
2151, 11572, 510, 281, 0, 0, 0, 0.9412889, 0.7223235
2201, 11553, 529, 281, 0, 0, 0, 0.941641, 0.7224961
